Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-3.78129e-06	2	9.93044e-07	2	2.8298e-06
0	-3.60811e-06	2	9.82547e-07	1.95	2.65351e-06
0	-3.48393e-06	2	1.03877e-06	1.9	2.40486e-06
0	-3.31441e-06	2	1.08643e-06	1.85	2.24118e-06
0	-3.163e-06	2	1.131127e-06	1.8	2.07157e-06
0	-3.09222e-06	2	1.19475e-06	1.75	1.90108e-06
0	-2.93784e-06	2	1.18908e-06	1.7	1.72801e-06
0	-2.8316e-06	2	1.27838e-06	1.65	1.53384e-06
0	-2.68937e-06	2	1.32088e-06	1.6	1.39132e-06
0	-2.55697e-06	2	1.27968e-06	1.55	1.22355e-06
0	-2.4003e-06	2	1.31858e-06	1.5	1.06264e-06
0	-2.4844e-06	2	1.60598e-06	1.45	8.72818e-07
0	-2.2827e-06	2	1.48688e-06	1.4	7.85776e-07
0	-2.22544e-06	2	1.53039e-06	1.35	6.6263e-07
0	-2.0838e-06	2	1.55863e-06	1.3	5.64636e-07
0	-2.11653e-06	2	1.6891e-06	1.25	4.42965e-07
0	-2.07561e-06	2	1.67274e-06	1.2	3.63105e-07
0	-1.93156e-06	2	1.64598e-06	1.15	3.05585e-07
0	-1.87358e-06	2	1.61969e-06	1.1	2.56085e-07
0	-1.83245e-06	2	1.62e-06	1.05	1.9694e-07
0	-1.77184e-06	2	1.59113e-06	1	1.67082e-07
0	-1.76806e-06	2	1.65903e-06	0.95	1.16239e-07
0	-1.76607e-06	2	1.67757e-06	0.9	8.55362e-08
0	-1.68754e-06	2	1.65296e-06	0.85	6.12992e-08
0	-1.67393e-06	2	1.67284e-06	0.8	3.97691e-08
0	-1.69284e-06	2	1.62945e-06	0.75	2.50747e-08
0	-1.67455e-06	2	1.67944e-06	0.7	1.67184e-08
0	-1.64402e-06	2	1.64377e-06	0.65	1.07209e-08
0	-1.63072e-06	2	1.60775e-06	0.6	4.81601e-09
0	-1.60852e-06	2	1.55788e-06	0.55	2.96449e-09
0	-1.5358e-06	2	1.58058e-06	0.5	1.16317e-09
0	-1.56196e-06	2	1.51134e-06	0.45	1.8005e-10
0	-1.50648e-06	2	1.52035e-06	0.4	-8.5118e-10
0	-1.47029e-06	2	1.40101e-06	0.35	-1.02055e-09
0	-1.37525e-06	2	1.37175e-06	0.3	-1.78584e-09
0	-1.4099e-06	2	1.40671e-06	0.25	-3.33756e-09
0	-1.42327e-06	2	1.43534e-06	0.2	-5.47688e-09
0	-1.38971e-06	2	1.38702e-06	0.15	-8.99127e-09
0	-1.42887e-06	2	1.38639e-06	0.1	-1.16199e-08
0	-1.34056e-06	2	1.32431e-06	0.05	-1.88857e-08
0	-1.38779e-06	2	1.41205e-06	0	-2.45183e-08
0	-1.38282e-06	2	1.44169e-06	-0.05	-3.04424e-08
0	-1.34584e-06	2	1.45607e-06	-0.1	-3.85783e-08
0	-1.46902e-06	2	1.41996e-06	-0.15	-5.09132e-08
0	-1.30866e-06	2	1.34594e-06	-0.2	-6.68912e-08
0	-1.35395e-06	2	1.43169e-06	-0.25	-7.61941e-08
0	-1.34585e-06	2	1.4251e-06	-0.3	-8.25333e-08
0	-1.3031e-06	2	1.37221e-06	-0.35	-8.83212e-08
0	-1.29151e-06	2	1.41212e-06	-0.4	-1.002082e-07
0	-1.24013e-06	2	1.35381e-06	-0.45	-1.13753e-07
0	-1.26905e-06	2	1.41985e-06	-0.5	-1.35005e-07
0	-1.26978e-06	2	1.46402e-06	-0.55	-1.47041e-07
0	-1.29503e-06	2	1.46809e-06	-0.6	-1.58868e-07
0	-1.235e-06	2	1.35334e-06	-0.65	-1.79024e-07
0	-1.13294e-06	2	1.35682e-06	-0.7	-1.84452e-07
0	-1.1184e-06	2	1.38819e-06	-0.75	-1.96395e-07
0	-1.15457e-06	2	1.36085e-06	-0.8	-2.09233e-07
0	-1.14215e-06	2	1.41192e-06	-0.85	-2.22173e-07
0	-1.11785e-06	2	1.45305e-06	-0.9	-2.12329e-07
0	-1.05421e-06	2	1.34857e-06	-0.95	-2.64277e-07
0	-1.13963e-06	2	1.41698e-06	-1	-3.02413e-07
0	-1.15113e-06	2	1.44349e-06	-1.05	-3.1286e-07
0	-1.11603e-06	2	1.37684e-06	-1.1	-3.23575e-07
0	-1.01141e-06	2	1.30227e-06	-1.15	-3.38099e-07
0	-9.72768e-07	2	1.29574e-06	-1.2	-3.38011e-07
0	-8.72799e-07	2	1.24943e-06	-1.25	-3.8176e-07
0	-8.69816e-07	2	1.28493e-06	-1.3	-4.15426e-07
0	-8.46584e-07	2	1.28173e-06	-1.35	-4.43478e-07
0	-8.38002e-07	2	1.2973e-06	-1.4	-4.6587e-07
0	-7.30628e-07	2	1.27017e-06	-1.45	-4.65682e-07
0	-7.33347e-07	2	1.22053e-06	-1.5	-5.26851e-07
0	-7.08729e-07	2	1.23374e-06	-1.55	-5.86755e-07
0	-6.71997e-07	2	1.35741e-06	-1.6	-6.44162e-07
0	-6.395e-07	2	1.29737e-06	-1.65	-6.34794e-07
0	-5.75934e-07	2	1.22361e-06	-1.7	-6.25456e-07
0	-5.24221e-07	2	1.17947e-06	-1.75	-6.27886e-07
0	-5.34732e-07	2	1.23877e-06	-1.8	-6.74965e-07
0	-5.0578e-07	2	1.19811e-06	-1.85	-7.03036e-07
0	-4.7208e-07	2	1.21551e-06	-1.9	-7.23282e-07
0	-3.92005e-07	2	1.13852e-06	-1.95	-7.48032e-07
0	-4.00772e-07	2	1.11436e-06	-2	-7.34256e-07
0	-3.4289e-07	2	1.11854e-06	-2.05	-7.75472e-07
0	-3.26536e-07	2	1.20014e-06	-2.1	-8.37039e-07
0	-3.06373e-07	2	1.11717e-06	-2.15	-8.70652e-07
0	-2.51298e-07	2	1.18583e-06	-2.2	-8.87268e-07
0	-2.56356e-07	2	1.18686e-06	-2.25	-9.50334e-07
0	-1.90153e-07	2	1.09537e-06	-2.3	-9.1883e-07
0	-1.71957e-07	2	1.12092e-06	-2.35	-9.30097e-07
0	-1.24011e-07	2	1.07748e-06	-2.4	-9.0951e-07
0	-8.81881e-08	2	1.07643e-06	-2.45	-9.01991e-07
0	-1.92156e-08	2	9.10164e-07	-2.5	-9.18446e-07
0	-2.78033e-08	2	9.02987e-07	-2.55	-9.12628e-07
0	4.50253e-08	2	8.67839e-07	-2.6	-8.70611e-07
0	6.92882e-08	2	6.83293e-07	-2.65	-8.26572e-07
0	2.79287e-07	2	3.8597e-07	-2.7	-8.13573e-07
0	5.56993e-07	2	2.26852e-07	-2.75	-8.12571e-07
0	6.96216e-07	2	1.86505e-07	-2.8	-8.40539e-07
0	7.46716e-07	2	1.29253e-07	-2.85	-9.09684e-07
0	8.80615e-07	2	1.08126e-07	-2.9	-9.43725e-07
0	9.21339e-07	2	6.09319e-08	-2.95	-9.5501e-07
0	9.45971e-07	2	6.30362e-08	-3	-1.026465e-06
0	1.05246e-06	2	5.64653e-08	-3.05	-1.09676e-06
0	1.08229e-06	2	7.9002e-08	-3.1	-1.107e-06
0	1.09288e-06	2	6.55827e-08	-3.15	-1.17434e-06
0	1.17354e-06	2	6.89442e-08	-3.2	-1.24571e-06
0	1.26488e-06	2	6.11357e-08	-3.25	-1.28219e-06
0	1.26985e-06	2	1.019247e-07	-3.3	-1.3288e-06
0	1.29816e-06	2	7.84548e-08	-3.35	-1.34437e-06
0	1.34912e-06	2	5.50021e-08	-3.4	-1.38326e-06
0	1.35082e-06	2	7.35025e-08	-3.45	-1.42239e-06
0	1.47023e-06	2	7.45242e-08	-3.5	-1.48279e-06
0	1.47814e-06	2	7.40776e-08	-3.55	-1.51413e-06
0	1.55232e-06	2	4.375e-08	-3.6	-1.60226e-06
0	1.66024e-06	2	7.25077e-08	-3.65	-1.59765e-06
0	1.55564e-06	2	5.3022e-08	-3.7	-1.60984e-06
0	1.58023e-06	2	4.97523e-08	-3.75	-1.6514e-06
0	1.63986e-06	2	4.90457e-08	-3.8	-1.6287e-06
0	1.57494e-06	2	3.92583e-08	-3.85	-1.55011e-06
0	1.60775e-06	2	2.51184e-08	-3.9	-1.63286e-06
0	1.65696e-06	2	3.64843e-08	-3.95	-1.67564e-06
0	1.66299e-06	2	3.4288e-08	-4	-1.64138e-06
0	1.64303e-06	2	4.9411e-08	-4.05	-1.67419e-06
0	1.71497e-06	2	2.62262e-08	-4.1	-1.68687e-06
0	1.75785e-06	2	2.20522e-08	-4.15	-1.75748e-06
0	1.80902e-06	2	1.88634e-08	-4.2	-1.76779e-06
0	1.79536e-06	2	2.09344e-08	-4.25	-1.85678e-06
0	1.88826e-06	2	2.49116e-08	-4.3	-1.90055e-06
