Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-5.32395e-05	2	5.36027e-05	2	3.8463e-09
0	-5.30538e-05	2	5.31584e-05	1.95	3.33408e-09
0	-5.2356e-05	2	5.23331e-05	1.9	2.91994e-09
0	-5.20236e-05	2	5.27483e-05	1.85	2.44697e-09
0	-5.3361e-05	2	5.3275e-05	1.8	2.15039e-09
0	-5.35813e-05	2	5.3764e-05	1.75	1.77136e-09
0	-5.38721e-05	2	5.427e-05	1.7	1.45348e-09
0	-5.47046e-05	2	5.47651e-05	1.65	1.03419e-09
0	-5.49297e-05	2	5.37282e-05	1.6	8.8169e-10
0	-5.53332e-05	2	5.4871e-05	1.55	6.5509e-10
0	-5.41516e-05	2	5.35801e-05	1.5	5.4814e-10
0	-5.27316e-05	2	5.26509e-05	1.45	4.0624e-10
0	-5.28541e-05	2	5.35533e-05	1.4	1.7559e-10
0	-5.48557e-05	2	5.5116e-05	1.35	1.2578e-10
0	-5.37795e-05	2	5.39553e-05	1.3	7.071e-11
0	-5.3938e-05	2	5.39011e-05	1.25	3.236e-11
0	-5.40909e-05	2	5.38599e-05	1.2	2.226e-11
0	-5.28456e-05	2	5.41053e-05	1.15	2.665e-11
0	-5.40095e-05	2	5.34274e-05	1.1	-5.022e-11
0	-5.48872e-05	2	5.48615e-05	1.05	-1.3929e-10
0	-5.53408e-05	2	5.5946e-05	1	-1.25e-10
0	-5.52208e-05	2	5.52616e-05	0.95	-1.6699e-10
0	-5.40218e-05	2	5.40108e-05	0.9	-2.4446e-10
0	-5.44962e-05	2	5.48544e-05	0.85	-3.114e-10
0	-5.62762e-05	2	5.56038e-05	0.8	-3.6957e-10
0	-5.48118e-05	2	5.51147e-05	0.75	-4.8217e-10
0	-5.52573e-05	2	5.56591e-05	0.7	-4.3631e-10
0	-5.51536e-05	2	5.54069e-05	0.65	-4.9973e-10
0	-5.56116e-05	2	5.53147e-05	0.6	-5.0696e-10
0	-5.50156e-05	2	5.5111e-05	0.55	-5.0448e-10
0	-5.49916e-05	2	5.5363e-05	0.5	-6.3297e-10
0	-5.50845e-05	2	5.5544e-05	0.45	-5.3835e-10
0	-5.35801e-05	2	5.41216e-05	0.4	-7.5177e-10
0	-5.61498e-05	2	5.59327e-05	0.35	-6.491e-10
0	-5.64569e-05	2	5.60412e-05	0.3	-6.9936e-10
0	-5.55398e-05	2	5.55359e-05	0.25	-7.6211e-10
0	-5.49759e-05	2	5.48948e-05	0.2	-8.5028e-10
0	-5.51007e-05	2	5.50703e-05	0.15	-9.4431e-10
0	-5.47684e-05	2	5.54419e-05	0.1	-1.25049e-09
0	-5.6088e-05	2	5.6122e-05	0.05	-7.9252e-10
0	-5.53331e-05	2	5.56802e-05	0	-1.11855e-08
0	-5.47345e-05	2	5.47436e-05	-0.05	-5.26915e-08
0	-5.40255e-05	2	5.39247e-05	-0.1	-8.77536e-08
0	-5.37464e-05	2	5.53166e-05	-0.15	-1.070733e-07
0	-5.54652e-05	2	5.57561e-05	-0.2	-1.08731e-07
0	-5.83879e-05	2	5.83862e-05	-0.25	-1.69662e-07
0	-5.72161e-05	2	5.666e-05	-0.3	-1.09015e-07
0	-5.65155e-05	2	5.61342e-05	-0.35	-1.3926e-07
0	-5.67879e-05	2	5.68594e-05	-0.4	-8.92298e-08
0	-5.647e-05	2	5.63478e-05	-0.45	-6.82721e-08
0	-5.60443e-05	2	5.59638e-05	-0.5	-1.102467e-07
0	-5.56692e-05	2	5.58676e-05	-0.55	-7.01356e-08
0	-5.59593e-05	2	5.57905e-05	-0.6	-6.60239e-08
