Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-2.84156e-05	2	2.88456e-05	2	3.88019e-09
0	-2.9008e-05	2	2.94037e-05	1.95	3.92936e-09
0	-2.89424e-05	2	2.88755e-05	1.9	3.44988e-09
0	-2.8808e-05	2	2.88709e-05	1.85	3.39665e-09
0	-2.87377e-05	2	2.82409e-05	1.8	2.58954e-09
0	-2.86286e-05	2	2.91139e-05	1.75	2.03467e-09
0	-2.96418e-05	2	2.9134e-05	1.7	1.70736e-09
0	-2.92976e-05	2	2.92013e-05	1.65	1.01002e-09
0	-2.92914e-05	2	2.91184e-05	1.6	5.8329e-10
0	-2.92027e-05	2	2.92616e-05	1.55	3.4253e-10
0	-2.92736e-05	2	2.91298e-05	1.5	2.6581e-10
0	-2.92467e-05	2	2.91282e-05	1.45	1.7081e-10
0	-2.90707e-05	2	2.92543e-05	1.4	1.0528e-10
0	-2.89593e-05	2	2.89983e-05	1.35	8.072e-11
0	-2.8809e-05	2	2.886e-05	1.3	-1.8838e-10
0	-2.81525e-05	2	2.83826e-05	1.25	3.46e-12
0	-2.89001e-05	2	2.87421e-05	1.2	-1.046e-10
0	-2.88664e-05	2	2.83905e-05	1.15	-1.599e-10
0	-2.92154e-05	2	2.93274e-05	1.1	-1.5453e-10
0	-2.94824e-05	2	2.94155e-05	1.05	-2.1331e-10
0	-2.91371e-05	2	2.92385e-05	1	-2.7853e-10
0	-2.89317e-05	2	2.88424e-05	0.95	-3.3494e-10
0	-2.8303e-05	2	2.85613e-05	0.9	-3.1032e-10
0	-2.8901e-05	2	2.89789e-05	0.85	-3.3292e-10
0	-2.9033e-05	2	2.90884e-05	0.8	-3.4139e-10
0	-2.91383e-05	2	2.89527e-05	0.75	-3.1216e-10
0	-2.89349e-05	2	2.88115e-05	0.7	-3.5042e-10
0	-2.98433e-05	2	2.93032e-05	0.65	-3.4976e-10
0	-2.91547e-05	2	2.90022e-05	0.6	-3.2318e-10
0	-2.9775e-05	2	2.97633e-05	0.55	-3.2464e-10
0	-3.00239e-05	2	2.99558e-05	0.5	-3.3805e-10
0	-3.00764e-05	2	3.01871e-05	0.45	-3.4432e-10
0	-3.00404e-05	2	2.99325e-05	0.4	-3.4433e-10
0	-3.02484e-05	2	3.02718e-05	0.35	-4.1471e-10
0	-3.0386e-05	2	3.02905e-05	0.3	-4.3351e-10
0	-3.03694e-05	2	3.03799e-05	0.25	-4.7003e-10
0	-3.01512e-05	2	3.01845e-05	0.2	-4.7394e-10
0	-3.02745e-05	2	3.03314e-05	0.15	-4.7653e-10
0	-3.05005e-05	2	3.04672e-05	0.1	-5.6524e-10
0	-3.03038e-05	2	3.03103e-05	0.05	-5.5049e-10
