No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area [cts*°2Th.]	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Status	Integral Breadth [°2Th.]	FWHM Right [°2Th.]	Shape Right	Obs. Lorentz B [°2Th.]	Obs. Gauss B [°2Th.]	Instr. Lorentz B [°2Th.]	Instr. Gauss B [°2Th.]	Crystallite Size [Å]	Micro Strain [%]	Crystallite Size only [Å]	Micro Strain only [%]
1	24,3283	0,1181	347,24	31,28	3,65871	2981,12	0,600	Included	0,116480	 	 	0,000285	0,116480	0,074665	0,063251	-1214,995000	0,197993	923,846800	0,198015
2	25,5094	0,0492	2098,88	31,88	3,49192	43246,19	0,600	Included	0,048533	 	 	0,000119	0,048533	0,074549	0,063153	-1216,942000	-0,077891	28640,060000	0,006096
3	49,9127	0,0960	135,11	27,09	1,82567	1055,58	0,600	Included	0,128000	 	 	0,084698	0,066393	0,074533	0,063143	9578,044000	0,019237	3544,230000	0,025755
4	50,5615	0,0960	6,71	30,01	1,80375	52,41	0,600	Excluded	0,128000	 	 	0,084698	0,066393	0,074605	0,063204	9671,955000	0,018781	3584,555000	0,025160
5	52,2764	0,0900	58,00	34,67	1,74854	483,33	0,600	Excluded	0,120000	 	 	0,079404	0,062243	0,074816	0,063383	21431,590000	-0,010641	14854,150000	0,005886
6	52,5001	0,0720	4537,18	34,19	1,74162	47262,27	0,600	Included	0,096000	 	 	0,063523	0,049794	0,074846	0,063408	-8692,093000	-0,034735	31119,510000	0,002798
7	78,6185	0,1920	15,79	14,00	1,21593	61,67	0,600	Included	0,256000	 	 	0,169395	0,132785	0,082963	0,070282	1319,900000	0,060039	656,139600	0,092658
8	83,1740	0,0720	229,48	13,59	1,16051	2390,46	0,600	Included	0,096000	 	 	0,063523	0,049794	0,085587	0,072504	-5348,774000	-0,025912	37315,710000	0,001555
9	116,1041	0,0900	6,14	15,80	0,90780	51,20	0,600	Included	0,120000	 	 	0,079404	0,062243	0,124550	0,105492	-3695,017000	-0,023175	52745,540000	0,000861
10	124,5828	0,0960	1332,33	33,04	0,87008	10408,81	0,600	Included	0,128000	 	 	0,084698	0,066393	0,144534	0,122412	-3172,587000	-0,023568	60025,190000	0,000725
