No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area [cts*°2Th.]	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Status	Integral Breadth [°2Th.]	FWHM Right [°2Th.]	Shape Right	Obs. Lorentz B [°2Th.]	Obs. Gauss B [°2Th.]	Instr. Lorentz B [°2Th.]	Instr. Gauss B [°2Th.]	Crystallite Size [Å]	Micro Strain [%]	Crystallite Size only [Å]	Micro Strain only [%]
1	24,3359	0,1440	403,34	27,09	3,65455	2100,74	0,600	Included	0,192000	 	 	0,127046	0,099589	0,074665	0,063251	1723,851000	0,155663	794,624000	0,229955
2	25,5024	0,0360	1519,02	24,86	3,48998	31646,17	0,600	Included	0,048000	 	 	0,031762	0,024897	0,074550	0,063154	-2115,092000	-0,111907	28615,960000	0,006098
3	44,3962	0,2880	3,08	9,57	2,03885	8,02	0,600	Excluded	0,384000	 	 	0,254093	0,199178	0,074091	0,062768	529,637800	0,202129	298,765800	0,341213
4	49,9241	0,1080	97,31	19,30	1,82527	675,75	0,600	Included	0,144000	 	 	0,095285	0,074692	0,074534	0,063144	4692,077000	0,037396	1798,470000	0,050745
5	50,5610	0,0720	4,17	20,89	1,80377	43,46	0,600	Excluded	0,096000	 	 	0,063523	0,049794	0,074605	0,063204	-8809,311000	-0,035963	30866,360000	0,002922
6	52,2385	0,0720	30,87	25,21	1,74972	321,59	0,600	Excluded	0,096000	 	 	0,063523	0,049794	0,074811	0,063379	-8709,223000	-0,034893	31084,590000	0,002814
7	52,4814	0,0360	1542,08	24,85	1,74219	32126,71	0,600	Included	0,048000	 	 	0,031762	0,024897	0,074844	0,063406	-2284,289000	-0,051617	31117,000000	0,002799
8	78,6747	0,1920	10,65	11,01	1,21520	41,61	0,600	Included	0,256000	 	 	0,169395	0,132785	0,082992	0,070307	1320,884000	0,059970	656,546200	0,092545
9	83,1883	0,0360	90,57	15,18	1,16035	1886,93	0,600	Included	0,048000	 	 	0,031762	0,024897	0,085596	0,072512	-2192,434000	-0,033477	37319,830000	0,001555
10	116,0893	0,1920	6,67	14,91	0,90788	26,07	0,600	Included	0,256000	 	 	0,169395	0,132785	0,124520	0,105467	3716,560000	0,021958	1494,107000	0,030382
11	124,5835	0,0720	820,23	28,93	0,87007	8544,11	0,600	Included	0,096000	 	 	0,063523	0,049794	0,144537	0,122414	-2343,317000	-0,025627	60025,970000	0,000725
