No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area [cts*°2Th.]	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Status	Integral Breadth [°2Th.]	FWHM Right [°2Th.]	Shape Right	Obs. Lorentz B [°2Th.]	Obs. Gauss B [°2Th.]	Instr. Lorentz B [°2Th.]	Instr. Gauss B [°2Th.]	Crystallite Size [Å]	Micro Strain [%]	Crystallite Size only [Å]	Micro Strain only [%]
1	24,2352	0,2500	11,39	29,12	3,66951	94,88	0,600	Included	0,120000	 	 	0,000294	0,120000	0,074675	0,063259	-1213,763000	0,207234	885,256400	0,207257
2	25,4955	0,0360	1604,87	27,08	3,49091	33434,79	0,600	Included	0,048000	 	 	0,031762	0,024897	0,074551	0,063154	-2115,031000	-0,111939	28615,570000	0,006100
3	49,8936	0,5000	4,35	18,79	1,82632	36,21	0,600	Included	0,120000	 	 	0,000294	0,120000	0,074531	0,063141	-1311,377000	0,095717	953,909800	0,095728
4	50,5600	0,0720	3,22	23,12	1,80380	33,53	0,600	Excluded	0,096000	 	 	0,063523	0,049794	0,074604	0,063204	-8809,366000	-0,035963	30866,230000	0,002922
5	52,2434	0,0840	42,75	29,08	1,74957	381,69	0,600	Excluded	0,112000	 	 	0,074110	0,058094	0,074812	0,063379	-140167,100000	-0,022547	31085,240000	0,002814
6	52,5122	0,0720	3734,46	28,67	1,74124	38900,59	0,600	Included	0,096000	 	 	0,063523	0,049794	0,074848	0,063410	-8691,291000	-0,034727	31121,130000	0,002798
7	83,1883	0,0780	183,08	14,00	1,16035	1760,36	0,600	Included	0,104000	 	 	0,068817	0,053944	0,085596	0,072512	-7034,138000	-0,023819	37319,830000	0,001555
8	116,0986	0,1680	5,57	11,00	0,90783	24,85	0,600	Included	0,224000	 	 	0,148221	0,116187	0,124539	0,105483	7043,448000	0,013256	2570,600000	0,017658
9	123,6190	0,2880	6,93	24,54	0,87397	18,06	0,600	Excluded	0,384000	 	 	0,254093	0,199178	0,141919	0,120198	1665,738000	0,037143	786,132100	0,055587
10	124,5844	0,0960	1119,26	27,81	0,87007	8744,23	0,600	Included	0,128000	 	 	0,084698	0,066393	0,144539	0,122416	-3172,438000	-0,023568	60026,770000	0,000725
