No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area [cts*°2Th.]	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Status	Integral Breadth [°2Th.]	FWHM Right [°2Th.]	Shape Right	Obs. Lorentz B [°2Th.]	Obs. Gauss B [°2Th.]	Instr. Lorentz B [°2Th.]	Instr. Gauss B [°2Th.]	Crystallite Size [Å]	Micro Strain [%]	Crystallite Size only [Å]	Micro Strain only [%]
1	24,2618	0,0960	519,48	31,04	3,66554	4058,45	0,600	Included	0,128000	 	 	0,084698	0,066393	0,074672	0,063257	9005,687000	0,040929	3341,308000	0,054852
2	25,5068	0,0360	1795,96	32,37	3,48938	37415,74	0,600	Included	0,048000	 	 	0,031762	0,024897	0,074550	0,063154	-2115,131000	-0,111886	28616,210000	0,006097
3	44,3912	0,2880	3,68	13,00	2,03907	9,59	0,600	Excluded	0,384000	 	 	0,254093	0,199178	0,074091	0,062768	529,627700	0,202154	298,760200	0,341255
4	49,8145	0,3600	498,48	32,87	1,82903	1038,51	0,600	Included	0,480000	 	 	0,317616	0,248972	0,074522	0,063134	400,345800	0,226309	233,107900	0,392315
5	50,5609	0,0960	10,52	37,34	1,80377	82,20	0,600	Excluded	0,128000	 	 	0,084698	0,066393	0,074605	0,063204	9671,866000	0,018782	3584,516000	0,025161
6	52,2606	0,0720	42,38	39,31	1,74903	441,45	0,600	Excluded	0,096000	 	 	0,063523	0,049794	0,074814	0,063381	-8707,790000	-0,034879	31087,530000	0,002813
7	52,4853	0,0360	1711,97	38,11	1,74207	35666,14	0,600	Included	0,048000	 	 	0,031762	0,024897	0,074844	0,063407	-2284,299000	-0,051613	31117,520000	0,002799
8	78,6354	0,4800	29,13	15,10	1,21571	45,52	0,600	Included	0,640000	 	 	0,423488	0,331963	0,082972	0,070290	335,067600	0,172846	199,172300	0,305191
9	83,1872	0,0780	226,44	15,41	1,16036	2177,28	0,600	Included	0,104000	 	 	0,068817	0,053944	0,085596	0,072511	-7034,374000	-0,023819	37319,500000	0,001555
10	116,0642	0,1680	7,08	17,00	0,90800	31,62	0,600	Included	0,224000	 	 	0,148221	0,116187	0,124470	0,105424	7019,653000	0,013299	2562,515000	0,017717
11	123,7013	0,2880	11,56	32,11	0,87363	30,12	0,600	Excluded	0,384000	 	 	0,254093	0,199178	0,142139	0,120384	1671,246000	0,037046	788,190700	0,055420
12	124,5933	0,0840	1155,12	35,19	0,87003	10313,57	0,600	Included	0,112000	 	 	0,074110	0,058094	0,144563	0,122437	-2694,995000	-0,024693	60035,660000	0,000725
