No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area [cts*°2Th.]	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Status	Integral Breadth [°2Th.]	FWHM Right [°2Th.]	Shape Right	Obs. Lorentz B [°2Th.]	Obs. Gauss B [°2Th.]	Instr. Lorentz B [°2Th.]	Instr. Gauss B [°2Th.]	Crystallite Size [Å]	Micro Strain [%]	Crystallite Size only [Å]	Micro Strain only [%]
1	24,2876	0,0900	462,81	40,29	3,66171	3856,71	0,600	Included	0,120000	 	 	0,079404	0,062243	0,074670	0,063255	19070,800000	-0,022849	13394,250000	0,013669
2	25,5019	0,0360	1792,57	36,54	3,49004	37345,29	0,600	Included	0,048000	 	 	0,031762	0,024897	0,074550	0,063154	-2115,088000	-0,111909	28615,930000	0,006098
3	44,4073	0,2755	5,28	13,70	2,04006	19,42	0,600	Excluded	0,271787	 	 	0,000665	0,271787	0,074092	0,062769	-1299,505000	0,282687	360,792900	0,282719
4	49,9390	0,1440	219,15	31,08	1,82476	1141,43	0,600	Included	0,192000	 	 	0,127046	0,099589	0,074535	0,063145	1854,296000	0,072160	855,495700	0,106650
5	50,5538	0,0960	9,48	35,08	1,80401	74,09	0,600	Excluded	0,128000	 	 	0,084698	0,066393	0,074604	0,063203	9670,805000	0,018787	3584,058000	0,025167
6	52,2481	0,0960	56,19	39,38	1,74942	439,02	0,600	Excluded	0,128000	 	 	0,084698	0,066393	0,074812	0,063380	9945,503000	0,017592	3704,573000	0,023612
7	52,5183	0,0720	3755,55	38,55	1,74106	39120,28	0,600	Included	0,096000	 	 	0,063523	0,049794	0,074849	0,063410	-8690,884000	-0,034724	31121,950000	0,002797
8	78,5364	0,5760	30,49	16,93	1,21700	39,69	0,600	Included	0,768000	 	 	0,508186	0,398355	0,082919	0,070246	268,103700	0,209270	162,099700	0,375385
9	83,1874	0,0780	220,08	20,81	1,16036	2116,17	0,600	Included	0,104000	 	 	0,068817	0,053944	0,085596	0,072512	-7034,329000	-0,023819	37319,570000	0,001555
10	116,0611	0,1680	7,16	14,88	0,90802	31,95	0,600	Included	0,224000	 	 	0,148221	0,116187	0,124464	0,105419	7017,495000	0,013303	2561,783000	0,017722
11	123,6735	0,2880	11,48	29,86	0,87374	29,90	0,600	Excluded	0,384000	 	 	0,254093	0,199178	0,142064	0,120321	1669,382000	0,037079	787,494200	0,055476
12	124,5787	0,0960	1143,64	32,11	0,87009	8934,72	0,600	Included	0,128000	 	 	0,084698	0,066393	0,144523	0,122403	-3172,965000	-0,023567	60021,180000	0,000725
