Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-5.92714e-05	2	5.91621e-05	2	5.61923e-09
0	-5.89256e-05	2	5.88151e-05	1.9	4.02274e-09
0	-5.90074e-05	2	5.9098e-05	1.8	2.99504e-09
0	-5.89772e-05	2	5.89913e-05	1.7	1.762e-09
0	-5.8974e-05	2	5.90607e-05	1.6	1.13543e-09
0	-5.89895e-05	2	5.87341e-05	1.5	4.9432e-10
0	-5.87236e-05	2	5.88214e-05	1.4	2.7374e-10
0	-5.9025e-05	2	5.91799e-05	1.3	1.3894e-10
0	-5.90059e-05	2	5.90229e-05	1.2	6.745e-11
0	-5.86075e-05	2	5.87252e-05	1.1	4.078e-11
0	-5.87322e-05	2	5.85304e-05	1	2.857e-11
0	-5.88309e-05	2	5.89405e-05	0.9	1.601e-11
0	-5.88473e-05	2	5.89807e-05	0.8	1.11e-12
0	-5.90469e-05	2	5.90464e-05	0.7	-2.19e-12
0	-5.92289e-05	2	5.92614e-05	0.6	-6.83e-12
0	-5.91049e-05	2	5.90823e-05	0.5	-1.575e-11
0	-5.90755e-05	2	5.90388e-05	0.4	-2.036e-11
0	-5.9114e-05	2	5.91121e-05	0.3	-2.911e-11
0	-5.90334e-05	2	5.90439e-05	0.2	-3.99e-11
0	-5.89224e-05	2	5.89717e-05	0.1	-7.166e-11
0	-5.9053e-05	2	5.92043e-05	0	-1.134e-10
0	-5.90578e-05	2	5.89195e-05	-0.1	-1.0346e-10
0	-5.8989e-05	2	5.89333e-05	-0.2	-1.1321e-10
0	-5.8818e-05	2	5.888e-05	-0.3	-1.0666e-10
0	-5.88002e-05	2	5.87562e-05	-0.4	-1.024e-10
0	-5.86516e-05	2	5.87993e-05	-0.5	-8.784e-11
0	-5.87604e-05	2	5.87709e-05	-0.6	-7.503e-11
0	-5.86414e-05	2	5.87302e-05	-0.7	-6.382e-11
0	-5.85876e-05	2	5.85964e-05	-0.8	-4.424e-11
0	-5.84615e-05	2	5.83214e-05	-0.9	-5.895e-11
0	-5.84273e-05	2	5.84543e-05	-1	-5.358e-11
0	-5.82351e-05	2	5.81661e-05	-1.1	-5.397e-11
0	-5.81005e-05	2	5.82613e-05	-1.2	-5.381e-11
0	-5.76886e-05	2	5.75984e-05	-1.3	-4.94e-11
0	-5.77684e-05	2	5.75859e-05	-1.4	-5.266e-11
0	-5.76094e-05	2	5.74552e-05	-1.5	-3.993e-11
0	-5.7353e-05	2	5.73619e-05	-1.6	-4.041e-11
0	-5.71979e-05	2	5.71466e-05	-1.7	-4.39e-11
0	-5.74496e-05	2	5.74077e-05	-1.8	-3.825e-11
0	-5.70681e-05	2	5.72046e-05	-1.9	-4.169e-11
0	-5.69437e-05	2	5.71236e-05	-2	-4.096e-11
0	-5.67641e-05	2	5.67068e-05	-2.1	-3.751e-11
0	-5.66636e-05	2	5.66123e-05	-2.2	-3.895e-11
0	-5.69029e-05	2	5.68443e-05	-2.3	-4.068e-11
0	-5.67506e-05	2	5.67418e-05	-2.4	-3.906e-11
0	-5.65515e-05	2	5.65834e-05	-2.5	-4.202e-11
0	-5.66392e-05	2	5.65311e-05	-2.6	-4.415e-11
0	-5.63364e-05	2	5.63486e-05	-2.7	-3.906e-11
0	-5.64034e-05	2	5.62687e-05	-2.8	-3.909e-11
0	-5.63091e-05	2	5.63117e-05	-2.9	-4.852e-11
0	-5.63948e-05	2	5.6301e-05	-3	-4.683e-11
0	-5.6278e-05	2	5.62053e-05	-3.1	-4.899e-11
0	-5.60315e-05	2	5.60576e-05	-3.2	-4.883e-11
0	-5.59728e-05	2	5.59128e-05	-3.3	-5.252e-11
0	-5.58693e-05	2	5.5892e-05	-3.4	-5.129e-11
0	-5.58635e-05	2	5.58961e-05	-3.5	-4.482e-11
0	-5.56844e-05	2	5.5626e-05	-3.6	-6.198e-11
0	-5.55823e-05	2	5.56504e-05	-3.7	-6.042e-11
0	-5.54256e-05	2	5.54558e-05	-3.8	-5.903e-11
0	-5.54008e-05	2	5.53554e-05	-3.9	-5.692e-11
0	-5.52405e-05	2	5.52316e-05	-4	-5.836e-11
0	-5.52959e-05	2	5.52028e-05	-4.1	-6.693e-11
0	-5.5072e-05	2	5.50585e-05	-4.2	-7.751e-11
0	-5.50249e-05	2	5.50593e-05	-4.3	-7.592e-11
0	-5.49126e-05	2	5.47882e-05	-4.4	-7.188e-11
0	-5.47742e-05	2	5.46279e-05	-4.5	-6.948e-11
0	-5.49754e-05	2	5.48681e-05	-4.6	-6.501e-11
0	-5.48064e-05	2	5.48415e-05	-4.7	-6.265e-11
0	-5.48559e-05	2	5.48085e-05	-4.8	-6.334e-11
0	-5.48193e-05	2	5.46825e-05	-4.9	-6.861e-11
0	-5.46053e-05	2	5.45474e-05	-5	-7.164e-11
0	-5.43555e-05	2	5.43977e-05	-5.1	-7.622e-11
0	-5.43946e-05	2	5.44253e-05	-5.2	-6.404e-11
0	-5.42844e-05	2	5.42825e-05	-5.3	-6.094e-11
0	-5.42589e-05	2	5.42115e-05	-5.4	-6.254e-11
0	-5.40572e-05	2	5.40043e-05	-5.5	-7.319e-11
0	-5.39884e-05	2	5.39241e-05	-5.6	-7.838e-11
0	-5.38769e-05	2	5.38432e-05	-5.7	-6.862e-11
0	-5.3805e-05	2	5.38105e-05	-5.8	-7.007e-11
0	-5.37541e-05	2	5.36092e-05	-5.9	-6.555e-11
0	-5.35424e-05	2	5.36287e-05	-6	-6.185e-11
0	-5.34827e-05	2	5.35453e-05	-6.1	-6.591e-11
0	-5.34726e-05	2	5.34925e-05	-6.2	-6.103e-11
0	-5.33863e-05	2	5.34166e-05	-6.3	-6.122e-11
0	-5.34131e-05	2	5.33779e-05	-6.4	-4.886e-11
0	-5.30747e-05	2	5.31089e-05	-6.5	-5.599e-11
0	-5.31008e-05	2	5.30498e-05	-6.6	-6.547e-11
0	-5.29327e-05	2	5.28299e-05	-6.7	-5.456e-11
0	-5.27659e-05	2	5.27386e-05	-6.8	-6.417e-11
0	-5.2636e-05	2	5.25737e-05	-6.9	-5.636e-11
0	-5.25867e-05	2	5.24915e-05	-7	-6.037e-11
0	-5.24176e-05	2	5.22863e-05	-7.1	-6.005e-11
0	-5.22512e-05	2	5.23127e-05	-7.2	-6.729e-11
0	-5.22249e-05	2	5.21289e-05	-7.3	-7.843e-11
0	-5.20614e-05	2	5.21476e-05	-7.4	-7.207e-11
0	-5.20835e-05	2	5.204e-05	-7.5	-6.816e-11
0	-5.18735e-05	2	5.18991e-05	-7.6	-8.691e-11
0	-5.17311e-05	2	5.18618e-05	-7.7	-7.669e-11
0	-5.15793e-05	2	5.15746e-05	-7.8	-8.898e-11
0	-5.15104e-05	2	5.14511e-05	-7.9	-8.175e-11
0	-5.13127e-05	2	5.13389e-05	-8	-8.281e-11
0	-5.12524e-05	2	5.12868e-05	-8.1	-9.446e-11
0	-5.12782e-05	2	5.11576e-05	-8.2	-9.778e-11
0	-5.11806e-05	2	5.11123e-05	-8.3	-1.09e-10
0	-5.10116e-05	2	5.08941e-05	-8.4	-1.0544e-10
0	-5.09704e-05	2	5.09716e-05	-8.5	-9.525e-11
0	-5.08761e-05	2	5.08349e-05	-8.6	-1.0193e-10
0	-5.08432e-05	2	5.08642e-05	-8.7	-1.1397e-10
0	-5.0656e-05	2	5.06529e-05	-8.8	-1.0691e-10
0	-5.04983e-05	2	5.04905e-05	-8.9	-1.0359e-10
0	-5.04181e-05	2	5.04423e-05	-9	-1.0998e-10
0	-5.03449e-05	2	5.03146e-05	-9.1	-1.0886e-10
0	-5.031e-05	2	5.02436e-05	-9.2	-1.0487e-10
0	-5.01218e-05	2	5.00322e-05	-9.3	-1.3142e-10
0	-5.0058e-05	2	5.00771e-05	-9.4	-1.2999e-10
0	-4.99885e-05	2	5.00879e-05	-9.5	-1.00701e-06
0	-4.96236e-05	2	4.9738e-05	-9.6	-1.5563e-10
0	-4.96967e-05	2	4.95964e-05	-9.7	-1.8091e-10
0	-4.9359e-05	2	4.97953e-05	-9.8	-8.03544e-07
0	-4.88665e-05	2	4.9958e-05	-9.9	-1.78184e-06
0	-4.90479e-05	2	4.92597e-05	-10	-2.0706e-10
0	-4.91192e-05	2	4.91378e-05	-10.1	-2.0369e-10
0	-4.9004e-05	2	4.8894e-05	-10.2	-6.1711e-10
0	-4.88751e-05	2	4.88626e-05	-10.3	-2.5054e-10
0	-4.86861e-05	2	4.86765e-05	-10.4	-2.9776e-10
0	-4.84458e-05	2	4.85101e-05	-10.5	-3.5524e-10
0	-4.83167e-05	2	4.86294e-05	-10.6	-4.2542e-10
0	-4.82111e-05	2	4.81241e-05	-10.7	-4.826e-10
0	-4.83264e-05	2	4.82406e-05	-10.8	-4.5572e-10
0	-4.81305e-05	2	4.81791e-05	-10.9	-5.2242e-10
0	-4.80466e-05	2	4.8067e-05	-11	-5.6403e-10
0	-4.79999e-05	2	4.79166e-05	-11.1	-1.88821e-09
0	-4.7864e-05	2	4.77426e-05	-11.2	-1.18571e-09
0	-4.76213e-05	2	4.77675e-05	-11.3	-2.7512e-09
0	-4.7546e-05	2	4.72383e-05	-11.4	-3.55336e-08
0	-4.7253e-05	2	4.73066e-05	-11.5	-3.55111e-08
0	-4.72116e-05	2	4.7508e-05	-11.6	-6.20491e-08
0	-4.71713e-05	2	4.72255e-05	-11.7	-8.77552e-08
0	-4.6958e-05	2	4.70392e-05	-11.8	-4.27751e-08
0	-4.70595e-05	2	4.69636e-05	-11.9	-1.86746e-07
0	-4.67078e-05	2	4.68468e-05	-12	-9.8403e-08
0	-4.6573e-05	2	4.67425e-05	-12.1	-1.95177e-07
0	-4.65381e-05	2	4.6823e-05	-12.2	-2.15893e-07
0	-4.65303e-05	2	4.655e-05	-12.3	-1.30244e-08
0	-4.63996e-05	2	4.63865e-05	-12.4	-1.93814e-08
0	-4.63249e-05	2	4.63646e-05	-12.5	-3.81887e-08
0	-4.63534e-05	2	4.64531e-05	-12.6	-1.30119e-08
0	-4.61866e-05	2	4.62357e-05	-12.7	-1.61962e-08
0	-4.61048e-05	2	4.61706e-05	-12.8	-1.79711e-08
0	-4.59752e-05	2	4.60151e-05	-12.9	-2.20781e-08
0	-4.59611e-05	2	4.59757e-05	-13	-1.90843e-08
0	-4.58346e-05	2	4.58664e-05	-13.1	-1.59005e-08
0	-4.57053e-05	2	4.57409e-05	-13.2	-2.34719e-08
0	-4.54821e-05	2	4.56424e-05	-13.3	-2.14524e-08
0	-4.5468e-05	2	4.54479e-05	-13.4	-2.26291e-08
0	-4.52454e-05	2	4.53688e-05	-13.5	-5.45689e-08
0	-4.51911e-05	2	4.53462e-05	-13.6	-3.96029e-08
0	-4.50625e-05	2	4.50151e-05	-13.7	-3.42206e-07
0	-4.48292e-05	2	4.51078e-05	-13.8	-4.4454e-07
0	-4.45647e-05	2	4.49928e-05	-13.9	-3.5822e-07
0	-4.45922e-05	2	4.5024e-05	-14	-3.39374e-07
0	-4.44975e-05	2	4.48359e-05	-14.1	-2.41941e-07
0	-4.45528e-05	2	4.45473e-05	-14.2	-2.15363e-07
0	-4.43899e-05	2	4.47232e-05	-14.3	-2.85734e-07
0	-4.41443e-05	2	4.45451e-05	-14.4	-4.97442e-07
0	-4.40837e-05	2	4.44916e-05	-14.5	-3.4609e-07
0	-4.40109e-05	2	4.44454e-05	-14.6	-7.47606e-07
0	-4.38009e-05	2	4.43021e-05	-14.7	-5.46701e-07
0	-4.35433e-05	2	4.42665e-05	-14.8	-1.17574e-06
0	-4.31989e-05	2	4.44052e-05	-14.9	-1.16303e-06
0	-4.3286e-05	2	4.4084e-05	-15	-1.37653e-06
0	-4.31439e-05	2	4.44464e-05	-15	-9.62096e-07
0	-4.27721e-05	2	4.41134e-05	-14.9	-9.0635e-07
0	-4.30817e-05	2	4.41584e-05	-14.8	-9.6757e-07
0	-4.31558e-05	2	4.41627e-05	-14.7	-1.06536e-06
0	-4.29843e-05	2	4.44317e-05	-14.6	-1.86728e-06
0	-4.30257e-05	2	4.44593e-05	-14.5	-1.46534e-06
0	-4.30472e-05	2	4.43728e-05	-14.4	-2.08711e-06
0	-4.2884e-05	2	4.40998e-05	-14.3	-1.3447e-06
0	-4.28224e-05	2	4.48491e-05	-14.2	-2.8055e-06
0	-4.18462e-05	2	4.52385e-05	-14.1	-2.35686e-06
0	-4.24253e-05	2	4.46284e-05	-14	-1.96703e-06
0	-4.24535e-05	2	4.45024e-05	-13.9	-2.11599e-06
0	-4.25836e-05	2	4.4406e-05	-13.8	-1.34759e-06
0	-4.28476e-05	2	4.4981e-05	-13.7	-3.25093e-06
0	-4.22194e-05	2	4.49935e-05	-13.6	-2.56031e-06
0	-4.29072e-05	2	4.3847e-05	-13.5	-7.41529e-07
0	-4.30754e-05	2	4.38085e-05	-13.4	-7.76176e-07
0	-4.2668e-05	2	4.42163e-05	-13.3	-1.33914e-06
0	-4.27288e-05	2	4.41505e-05	-13.2	-1.65893e-06
0	-4.27105e-05	2	4.40521e-05	-13.1	-1.12148e-06
0	-4.30311e-05	2	4.3844e-05	-13	-1.2996e-06
0	-4.26578e-05	2	4.40362e-05	-12.9	-1.20194e-06
0	-4.28903e-05	2	4.39546e-05	-12.8	-1.09856e-06
0	-4.27943e-05	2	4.38238e-05	-12.7	-9.8478e-07
0	-4.28521e-05	2	4.38711e-05	-12.6	-9.5174e-07
0	-4.29446e-05	2	4.369e-05	-12.5	-7.37948e-07
0	-4.29057e-05	2	4.3807e-05	-12.4	-8.76339e-07
0	-4.29511e-05	2	4.36344e-05	-12.3	-7.80314e-07
0	-4.28947e-05	2	4.38823e-05	-12.2	-7.99808e-07
0	-4.30153e-05	2	4.40918e-05	-12.1	-9.30001e-07
0	-4.31183e-05	2	4.39233e-05	-12	-9.07712e-07
0	-4.27927e-05	2	4.39685e-05	-11.9	-1.45512e-06
0	-4.23345e-05	2	4.39264e-05	-11.8	-1.06109e-06
0	-4.28148e-05	2	4.3922e-05	-11.7	-9.62327e-07
0	-4.27697e-05	2	4.3774e-05	-11.6	-1.13656e-06
0	-4.28764e-05	2	4.38419e-05	-11.5	-9.17967e-07
0	-4.29176e-05	2	4.37282e-05	-11.4	-7.99404e-07
0	-4.30329e-05	2	4.36557e-05	-11.3	-5.36654e-07
0	-4.31339e-05	2	4.376e-05	-11.2	-7.22511e-07
0	-4.3041e-05	2	4.40334e-05	-11.1	-8.98031e-07
0	-4.30871e-05	2	4.38757e-05	-11	-6.92691e-07
0	-4.321e-05	2	4.38477e-05	-10.9	-1.17569e-06
0	-4.22597e-05	2	4.40577e-05	-10.8	-1.567e-06
0	-4.29454e-05	2	4.39508e-05	-10.7	-9.64045e-07
0	-4.31372e-05	2	4.38593e-05	-10.6	-7.78659e-07
0	-4.31058e-05	2	4.39856e-05	-10.5	-6.41249e-07
0	-4.32004e-05	2	4.38975e-05	-10.4	-8.34083e-07
0	-4.33022e-05	2	4.38942e-05	-10.3	-7.19372e-07
0	-4.29034e-05	2	4.4036e-05	-10.2	-4.76603e-07
0	-4.34101e-05	2	4.38813e-05	-10.1	-4.39633e-07
0	-4.34617e-05	2	4.40184e-05	-10	-4.28353e-07
0	-4.34916e-05	2	4.39788e-05	-9.9	-4.41128e-07
0	-4.36167e-05	2	4.40206e-05	-9.8	-4.76606e-07
0	-4.35002e-05	2	4.41431e-05	-9.7	-6.83575e-07
0	-4.35361e-05	2	4.42467e-05	-9.6	-5.79189e-07
0	-4.36134e-05	2	4.40296e-05	-9.5	-4.83118e-07
0	-4.3618e-05	2	4.40054e-05	-9.4	-3.78367e-07
0	-4.36188e-05	2	4.41045e-05	-9.3	-4.61365e-07
0	-4.34793e-05	2	4.40052e-05	-9.2	-3.51787e-07
0	-4.36908e-05	2	4.40524e-05	-9.1	-4.76472e-07
0	-4.37563e-05	2	4.41278e-05	-9	-3.93003e-07
0	-4.37815e-05	2	4.42489e-05	-8.9	-4.0749e-07
0	-4.37096e-05	2	4.4125e-05	-8.8	-4.25057e-07
0	-4.37904e-05	2	4.41436e-05	-8.7	-3.98439e-07
0	-4.37852e-05	2	4.42056e-05	-8.6	-4.59883e-07
0	-4.3963e-05	2	4.4339e-05	-8.5	-3.92926e-07
0	-4.40067e-05	2	4.44699e-05	-8.4	-4.36799e-07
0	-4.40067e-05	2	4.44957e-05	-8.3	-4.51281e-07
0	-4.41495e-05	2	4.45634e-05	-8.2	-3.93176e-07
0	-4.41004e-05	2	4.45671e-05	-8.1	-4.58188e-07
0	-4.42421e-05	2	4.46965e-05	-8	-4.62632e-07
0	-4.42133e-05	2	4.46457e-05	-7.9	-4.36703e-07
0	-4.41568e-05	2	4.44088e-05	-7.8	-3.40367e-07
0	-4.42338e-05	2	4.44931e-05	-7.7	-3.0998e-07
0	-4.42836e-05	2	4.45973e-05	-7.6	-3.24466e-07
0	-4.43138e-05	2	4.45489e-05	-7.5	-3.39638e-07
0	-4.42164e-05	2	4.45029e-05	-7.4	-3.54255e-07
0	-4.42827e-05	2	4.47133e-05	-7.3	-3.68073e-07
0	-4.44135e-05	2	4.47686e-05	-7.2	-3.05082e-07
0	-4.44727e-05	2	4.47118e-05	-7.1	-2.78507e-07
0	-4.45117e-05	2	4.48234e-05	-7	-2.41252e-07
0	-4.45385e-05	2	4.47896e-05	-6.9	-3.18987e-07
0	-4.44163e-05	2	4.47862e-05	-6.8	-3.07026e-07
0	-4.45606e-05	2	4.4814e-05	-6.7	-2.402e-07
0	-4.46602e-05	2	4.49935e-05	-6.6	-2.89548e-07
0	-4.47627e-05	2	4.49982e-05	-6.5	-3.14978e-07
0	-4.46198e-05	2	4.49209e-05	-6.4	-2.81211e-07
0	-4.48009e-05	2	4.50327e-05	-6.3	-2.86518e-07
0	-4.47932e-05	2	4.51409e-05	-6.2	-2.17169e-07
