Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-5.18799e-05	2	5.18162e-05	2	-5e-14
0	-5.23633e-05	2	5.2033e-05	1.9	1e-14
0	-5.20915e-05	2	5.22286e-05	1.8	-2e-13
0	-5.22374e-05	2	5.22061e-05	1.7	-9e-14
0	-5.23325e-05	2	5.25297e-05	1.6	2e-14
0	-5.18983e-05	2	5.1991e-05	1.5	-5e-14
0	-5.18073e-05	2	5.18965e-05	1.4	-5e-14
0	-5.18943e-05	2	5.1888e-05	1.3	-6e-14
0	-5.20088e-05	2	5.20025e-05	1.2	-5e-14
0	-5.21828e-05	2	5.16867e-05	1.1	-6e-14
0	-5.16143e-05	2	5.15725e-05	1	-7e-14
0	-5.15269e-05	2	5.14893e-05	0.9	1e-14
0	-5.13998e-05	2	5.11968e-05	0.8	-3e-14
0	-5.09374e-05	2	5.17763e-05	0.7	-9e-14
0	-5.21728e-05	2	5.21695e-05	0.6	-5e-14
0	-5.17037e-05	2	5.17238e-05	0.5	1.6e-13
0	-5.11251e-05	2	5.1469e-05	0.4	-1e-13
0	-5.11454e-05	2	5.15105e-05	0.3	-3e-14
0	-5.15822e-05	2	5.18181e-05	0.2	-8e-14
0	-5.08127e-05	2	5.10407e-05	0.1	-2e-14
0	-5.08693e-05	2	5.10624e-05	0	-1.8e-13
0	-5.16245e-05	2	5.19682e-05	-0.1	-4e-14
0	-5.15213e-05	2	5.13073e-05	-0.2	-1.4e-13
0	-5.1611e-05	2	5.16207e-05	-0.3	-1e-14
0	-5.14107e-05	2	5.14999e-05	-0.4	-1.4e-13
0	-5.17456e-05	2	5.1292e-05	-0.5	-1.8e-13
0	-5.137e-05	2	5.15859e-05	-0.6	-1.3e-13
0	-5.2258e-05	2	5.2299e-05	-0.7	-1.4e-13
0	-5.22813e-05	2	5.23686e-05	-0.8	-1e-13
0	-5.19048e-05	2	5.24424e-05	-0.9	-1.7e-13
0	-5.25031e-05	2	5.26343e-05	-1	-1.7e-13
0	-5.28778e-05	2	5.26573e-05	-1.1	-7e-14
0	-5.17207e-05	2	5.17125e-05	-1.2	-1.2e-13
0	-5.15854e-05	2	5.16609e-05	-1.3	-1e-13
0	-5.1454e-05	2	5.18525e-05	-1.4	-2e-13
0	-5.19086e-05	2	5.16738e-05	-1.5	-3.1e-13
0	-5.20509e-05	2	5.18098e-05	-1.6	-1.6e-13
0	-5.15295e-05	2	5.14968e-05	-1.7	-9e-14
0	-5.10965e-05	2	5.19024e-05	-1.8	-2e-13
0	-5.17269e-05	2	5.15083e-05	-1.9	-2.6e-13
0	-5.15496e-05	2	5.15926e-05	-2	-2.7e-13
0	-5.15532e-05	2	5.1492e-05	-2.1	-3e-13
0	-5.14975e-05	2	5.16405e-05	-2.2	-2.5e-13
0	-5.13384e-05	2	5.16921e-05	-2.3	-2.3e-13
0	-5.12631e-05	2	5.13704e-05	-2.4	-3.3e-13
0	-5.1486e-05	2	5.15567e-05	-2.5	-2.7e-13
0	-5.13799e-05	2	5.15239e-05	-2.6	-2.8e-13
0	-5.12571e-05	2	5.13816e-05	-2.7	-4.5e-13
0	-5.16225e-05	2	5.1021e-05	-2.8	-3.2e-13
0	-5.11755e-05	2	5.10895e-05	-2.9	-3.8e-13
0	-5.0691e-05	2	5.06957e-05	-3	-3.7e-13
0	-5.06015e-05	2	5.0806e-05	-3.1	-4.6e-13
0	-5.12016e-05	2	5.11126e-05	-3.2	-4.2e-13
0	-5.11061e-05	2	5.10623e-05	-3.3	-4.7e-13
0	-5.12227e-05	2	5.12061e-05	-3.4	-4.7e-13
0	-5.13298e-05	2	5.13928e-05	-3.5	-4.9e-13
0	-5.13513e-05	2	5.14111e-05	-3.6	-5e-13
0	-5.129e-05	2	5.12031e-05	-3.7	-5.4e-13
0	-5.13715e-05	2	5.13257e-05	-3.8	-6.7e-13
0	-5.14601e-05	2	5.14976e-05	-3.9	-6.4e-13
0	-5.16515e-05	2	5.1359e-05	-4	-6.4e-13
0	-5.13429e-05	2	5.09105e-05	-4.1	-6.9e-13
0	-5.0926e-05	2	5.14998e-05	-4.2	-6.9e-13
0	-5.17076e-05	2	5.14804e-05	-4.3	-7.9e-13
0	-5.11547e-05	2	5.11028e-05	-4.4	-8.9e-13
0	-5.16854e-05	2	5.17682e-05	-4.5	-9e-13
0	-5.13475e-05	2	5.15236e-05	-4.6	-9.9e-13
